ticker,origin,model,horizon,mape,dir_acc,error
JPM,2026-01-08,naive,5,0.03711500226649141,1.0,
JPM,2026-01-08,gbm,5,0.03827514030470968,1.0,
JPM,2026-01-08,arima,5,0.0385369955129118,1.0,
JPM,2026-01-08,chronos,5,0.04894016325318583,0.0,
JPM,2026-01-08,naive,21,0.05630363847773821,1.0,
JPM,2026-01-08,gbm,21,0.0629774841289357,0.0,
JPM,2026-01-08,arima,21,0.06367508054722894,0.0,
JPM,2026-01-08,chronos,21,0.08548447380599875,0.0,
JPM,2026-03-11,naive,5,0.011628563211110181,1.0,
JPM,2026-03-11,gbm,5,0.012648028349595618,1.0,
JPM,2026-03-11,arima,5,0.013199932112323806,1.0,
JPM,2026-03-11,chronos,5,0.008723628092980938,1.0,
JPM,2026-03-11,naive,21,0.023487626009512246,1.0,
JPM,2026-03-11,gbm,21,0.02056784626708901,1.0,
JPM,2026-03-11,arima,21,0.02030569820942871,1.0,
JPM,2026-03-11,chronos,21,0.015735304894993637,1.0,
JNJ,2025-05-08,naive,5,0.04526144421297205,0.0,
JNJ,2025-05-08,gbm,5,0.0449234813237608,0.0,
JNJ,2025-05-08,arima,5,0.044133145815435496,0.0,
JNJ,2025-05-08,chronos,5,0.0455407848326469,0.0,
JNJ,2025-05-08,naive,21,0.025029324582659003,1.0,
JNJ,2025-05-08,gbm,21,0.024711285677746032,1.0,
JNJ,2025-05-08,arima,21,0.02392283530052915,1.0,
JNJ,2025-05-08,chronos,21,0.028447046430209556,1.0,
JNJ,2025-07-10,naive,5,0.0214483549966911,0.0,
JNJ,2025-07-10,gbm,5,0.021428046562781845,0.0,
JNJ,2025-07-10,arima,5,0.021600331354796,0.0,
JNJ,2025-07-10,chronos,5,0.02017607272856688,0.0,
JNJ,2025-07-10,naive,21,0.05961945469960749,0.0,
JNJ,2025-07-10,gbm,21,0.059882734486158794,0.0,
JNJ,2025-07-10,arima,21,0.05971706985611417,0.0,
JNJ,2025-07-10,chronos,21,0.05872143065982268,0.0,
JNJ,2025-09-09,naive,5,0.0058712753376487705,0.0,
JNJ,2025-09-09,gbm,5,0.005952705583057855,0.0,
JNJ,2025-09-09,arima,5,0.006241628944147807,0.0,
JNJ,2025-09-09,chronos,5,0.005005985502396555,0.0,
JNJ,2025-09-09,naive,21,0.023291366645884725,1.0,
JNJ,2025-09-09,gbm,21,0.02250850148364893,1.0,
JNJ,2025-09-09,arima,21,0.022751413159689624,1.0,
JNJ,2025-09-09,chronos,21,0.02527747087274596,0.0,
JNJ,2025-11-06,naive,5,0.029355697596827757,0.0,
JNJ,2025-11-06,gbm,5,0.02920436362394254,0.0,
